Date;Close_ASML;Close_Carl Zeiss Meditec;Close_Lam Research Corporation;Close_Tokyo Electron Limited;COVID_Period;Geopolitical_Tension;Trade_Sanctions;Tech_Regulation;New_Product_Launch;Israel_Gaza_Conflict;Economic_Stimulus
2013-01-13;56.54491424560547;26.057861328125;1.5531611442565918;7.480000019073486;0;0;0;0;0;0;0
2013-01-20;57.20220947265625;27.226337432861328;1.584166407585144;7.460000038146973;0;0;0;0;0;0;0
2013-01-27;62.10523986816406;27.67439842224121;1.657339096069336;7.406667232513428;0;0;0;0;0;0;0
2013-02-03;66.8572769165039;28.728660583496094;1.7247238159179688;7.139999866485596;0;0;0;0;0;0;0
2013-02-10;67.49681091308594;29.34365463256836;1.7598631381988523;6.853332996368408;0;0;0;0;0;0;0
2013-02-17;66.48423767089844;29.826852798461918;1.7710256576538086;7.126667022705078;0;0;0;0;0;0;0
2013-02-24;64.08599853515625;28.98783493041992;1.7360925078392029;7.37333345413208;0;0;0;0;0;0;0
2013-03-03;63.55308151245117;27.17362403869629;1.7487014532089231;7.553332805633545;0;0;0;0;0;0;0
2013-03-10;63.06453323364258;28.144664764404297;1.772679090499878;7.593332767486572;0;0;0;0;0;0;0
2013-03-17;62.15852737426758;26.858051300048828;1.7495285272598269;7.586667060852051;0;0;0;0;0;0;0
2013-03-24;61.83878707885742;25.821611404418945;1.6916519403457642;7.5;0;0;0;0;0;0;0
2013-03-31;60.39095687866211;27.9570369720459;1.696819245815277;7.203333377838135;0;0;0;0;0;0;0
2013-04-07;59.2540168762207;28.457386016845703;1.6854509115219116;7.2866668701171875;0;0;0;0;0;0;0
2013-04-14;60.9860954284668;28.457386016845703;1.7284445762634275;7.440000057220459;0;0;0;0;0;0;0
2013-04-21;61.71443176269531;28.457386016845703;1.714802622795105;7.24666690826416;0;0;0;0;0;0;0
2013-04-28;65.3206558227539;28.457386016845703;1.7788797616958618;8.426667213439941;0;0;0;0;0;0;0
2013-05-05;66.85775756835938;28.457386016845703;1.887191891670227;8.186667442321777;0;0;0;0;0;0;0
2013-05-12;68.70496368408203;28.457386016845703;1.935147047042847;8.973333358764648;0;0;0;0;0;0;0
2013-05-19;69.682373046875;28.457386016845703;1.965326189994812;9.166666984558104;0;0;0;0;0;0;0
2013-05-26;71.80754852294922;28.457386016845703;1.9409347772598269;9.353333473205566;0;0;0;0;0;0;0
2013-06-02;74.5693588256836;28.457386016845703;1.9492026567459104;8.433333396911621;0;0;0;0;0;0;0
2013-06-09;71.55648803710938;28.457386016845703;1.9835156202316284;8.140000343322754;0;0;0;0;0;0;0
2013-06-16;71.5295639038086;28.457386016845703;1.9463086128234863;8.41333293914795;0;0;0;0;0;0;0
2013-06-23;71.08121490478516;28.457386016845703;1.9475493431091309;8.333333015441895;0;0;0;0;0;0;0
2013-06-30;68.8932876586914;28.859451293945312;1.845438361167908;8.34000015258789;0;0;0;0;0;0;0
2013-07-07;71.44886016845703;29.84228134155273;1.859700858592987;8.176666736602783;0;0;0;0;0;0;0
2013-07-14;75.18809509277344;29.84228134155273;2.047179937362671;8.19333267211914;0;0;0;0;0;0;0
2013-07-21;79.77919006347656;31.05741310119629;2.0628890991210938;8.460000038146973;0;0;0;0;0;0;0
2013-07-28;79.49223327636719;31.05741310119629;2.045112133026123;7.733333110809326;0;0;0;0;0;0;0
2013-08-04;80.7834701538086;31.05741310119629;2.054207801818848;7.519999980926514;0;0;0;0;0;0;0
2013-08-11;82.38856506347656;29.90481948852539;2.005426406860352;7.406667232513428;0;0;0;0;0;0;0
2013-08-18;81.95814514160156;29.90481948852539;1.9835156202316284;7.039999961853027;0;0;0;0;0;0;0
2013-08-25;81.40220642089844;29.90481948852539;1.9909560680389404;7.159999847412109;0;0;0;0;0;0;0
2013-09-01;78.83765411376953;27.099292755126957;1.929358959197998;6.926667213439941;0;0;0;0;0;0;0
2013-09-08;79.599853515625;27.099292755126957;2.038704395294189;7.143333196640015;0;0;0;0;0;0;0
2013-09-15;81.03455352783203;27.099292755126957;2.075704574584961;7.25333309173584;0;0;0;0;0;0;0
2013-09-22;84.96210479736328;28.02851104736328;2.06412935256958;8.066666603088379;0;0;0;0;0;0;0
2013-09-29;87.58045196533203;26.831249237060547;2.114151954650879;9.08666706085205;0;0;0;0;0;0;0
2013-10-06;90.26158142089844;26.831249237060547;2.123659133911133;8.966667175292969;0;0;0;0;0;0;0
2013-10-13;87.61631774902344;26.831249237060547;2.1393685340881348;9.126667022705078;0;0;0;0;0;0;0
2013-10-20;85.1683349609375;26.831249237060547;2.212540864944458;9.293333053588867;0;0;0;0;0;0;0
2013-10-27;84.3702621459961;26.831249237060547;2.2270102500915527;9.353333473205566;0;0;0;0;0;0;0
2013-11-03;84.5854721069336;26.831249237060547;2.243546485900879;9.266667366027832;0;0;0;0;0;0;0
2013-11-10;81.1690673828125;26.831249237060547;2.222463130950928;9.166666984558104;0;0;0;0;0;0;0
2013-11-17;78.6224365234375;26.831249237060547;2.164999723434448;9.18000030517578;0;0;0;0;0;0;0
2013-11-24;79.91371154785156;26.831249237060547;2.102163076400757;8.9399995803833;0;0;0;0;0;0;0
2013-12-01;83.7336196899414;28.618209838867188;2.156318545341492;9.036666870117188;0;0;0;0;0;0;0
2013-12-08;82.0299072265625;28.671823501586918;2.118698835372925;8.880000114440918;0;0;0;0;0;0;0
2013-12-15;81.63533782958984;30.110326766967773;2.118698835372925;8.80666732788086;0;0;0;0;0;0;0
2013-12-22;80.5054931640625;30.110326766967773;2.1918718814849854;8.84000015258789;0;0;0;0;0;0;0
2013-12-29;83.07903289794922;30.110326766967773;2.247267484664917;9.096666812896729;0;0;0;0;0;0;0
2014-01-05;83.78742218017578;30.110326766967773;2.2404465675354004;9.146666526794434;0;0;0;0;0;0;0
2014-01-12;80.82831573486328;27.617509841918945;2.23982572555542;9.0600004196167;0;0;0;0;0;0;0
2014-01-19;80.20064544677734;27.304792404174805;2.2695913314819336;9.146666526794434;0;0;0;0;0;0;0
