Date;Close_Carl_Zeiss_Meditec;Close_Lam_Research_Corporation;Close_Tokyo_Electron_Limited
2018-01-07;59.80833053588867;13.063464641571045;31.770000457763672
2018-01-14;60.94662857055664;12.976799964904785;32.766666412353516
2018-01-21;60.85177230834961;13.89795970916748;34.386667251586914
2018-01-28;61.37348937988281;14.163713455200195;34.026668548583984
2018-02-04;61.33555221557617;12.937529563903809;31.420000076293945
2018-02-11;58.83127975463867;11.533953666687012;28.52666664123535
2018-02-18;58.575164794921875;12.391129493713379;30.546667098999023
2018-02-25;60.64307975769043;12.943286418914795;31.9399995803833
2018-03-04;61.1363410949707;13.09935188293457;32.63999938964844
2018-03-11;58.70796585083008;14.372537612915039;33.040000915527344
2018-03-18;58.70796585083008;15.142271041870117;34.9466667175293
2018-03-25;58.5372200012207;14.768943786621094;33.53333282470703
2018-04-01;59.35775184631348;13.771809577941895;31.193333625793457
2018-04-08;61.46835708618164;13.2376070022583;30.633333206176758
2018-04-15;62.72492980957031;13.634015083312988;31.32666778564453
2018-04-22;62.332061767578125;13.816609382629395;31.17333221435547
2018-04-29;64.39222717285156;12.7108736038208;31.299999237060547
2018-05-06;65.6379165649414;12.864276885986328;31.773332595825195
2018-05-13;64.52637481689453;13.556632995605469;32.400001525878906
2018-05-20;65.13963317871094;13.801674842834473;32.62666702270508
2018-05-27;65.7624740600586;13.777915000915527;31.559999465942383
2018-06-03;66.94107818603516;13.647253513336182;31.52999973297119
2018-06-10;66.94107818603516;13.887200355529785;31.766666412353516
2018-06-17;70.17986297607422;13.178459167480469;30.600000381469727
2018-06-24;66.93150329589844;12.520648002624512;28.333332061767578
2018-07-01;66.74944305419922;12.267419815063477;28.5
2018-07-08;68.3640365600586;12.369645118713379;27.49333381652832
2018-07-15;70.64939880371094;12.32337760925293;27.666667938232422
2018-07-22;74.35768127441406;12.75522232055664;28.18000030517578
2018-07-29;74.35768127441406;12.542168617248535;27.97333335876465
2018-08-05;76.19171905517578;13.435270309448242;29.459999084472656
2018-08-12;76.19171905517578;13.336277961730957;29.239999771118164
2018-08-19;76.84905242919922;12.502713203430176;27.666667938232422
2018-08-26;79.87702941894531;12.393677711486816;28.19333267211914
2018-09-02;79.87702941894531;12.416632652282715;28.666667938232422
2018-09-09;85.3580322265625;11.908386707305908;26.746665954589844
2018-09-16;84.31356811523438;11.08493709564209;24.266666412353516
2018-09-23;84.94599914550781;11.098663330078125;24.106666564941406
2018-09-30;84.04527282714844;10.928192138671875;23.459999084472656
2018-10-07;80.1549072265625;10.852346420288086;23.100000381469727
2018-10-14;73.20783996582031;10.373441696166992;21.399999618530273
2018-10-21;76.17830657958984;10.488292694091797;21.979999542236328
2018-10-28;77.47188568115234;10.29759407043457;21.393333435058594
2018-11-04;78.81340789794922;10.237642288208008;22.5
2018-11-11;80.1932373046875;10.9563627243042;22.666667938232422
2018-11-18;75.24883270263672;10.397998809814453;22.053333282470703
2018-11-25;68.31612396240234;10.390053749084473;22.206665992736816
